Constituency is in resultdata but missing in constituencydata
Constituency is in constituencydata but missing in resultdata
Constituency(id=31, name=KUNDARKI)
Constituency(id=6, name=KARANPRAYAG)
Constituency(id=255, name=RARI)
Constituency(id=217, name=LALGANJ)
Constituency(id=323, name=RATH)
Constituency(id=230, name=MOHAMMADABAD)
Constituency(id=368, name=HATHRAS)
Constituency(id=410, name=BAGHRA)
Constituency(id=396, name=MEERUT CANTONMENT)
Constituency(id=123, name=JAGDISHPUR (SC))
Constituency(id=408, name=MUZAFFARNAGAR)
Constituency(id=235, name=SADAT (SC))
Constituency(id=386, name=SIKANDRABAD)
Constituency(id=25, name=AMROHA)
Constituency(id=115, name=BIHAR (SC))
Constituency(id=304, name=ETAWAH)
Constituency(id=362, name=GOVERDHAN (SC))
Constituency(id=69, name=PAILA)
Constituency(id=352, name=BAH)
Constituency(id=415, name=NAGAL (SC))
Constituency(id=201, name=GAURI BAZAR)
Constituency(id=162, name=KATRA BAZAR)
Constituency(id=290, name=KANPUR CANTONMENT)
Constituency(id=206, name=BARHAJ)
Constituency(id=17, name=SEOHARA)
Constituency(id=391, name=HAPUR (SC))
Constituency(id=395, name=SARDHANA)
Constituency(id=288, name=SISAMAU (SC))
Constituency(id=389, name=MURADNAGAR)
Constituency(id=92, name=BANGARMAU)
Constituency(id=324, name=CHARKHARI (SC))
Constituency(id=11, name=BAGESHWAR (SC))
Constituency(id=181, name=CHILLUPAR)
Constituency(id=9, name=PITHORAGARH)
Constituency(id=215, name=SARAIMIR (SC))
Constituency(id=84, name=SANDILA)
Constituency(id=384, name=BULANDSHAHR)
Constituency(id=112, name=DALMAU)
Constituency(id=308, name=KANNAUJ (SC))
Constituency(id=356, name=DAYALBAGH)
Constituency(id=103, name=LUCKNOW CENTRAL)
Constituency(id=315, name=MANIKPUR (SC))
Constituency(id=336, name=BHONGARA)
Constituency(id=228, name=KOPACHIT)
Constituency(id=283, name=HASWA)
Constituency(id=248, name=GYANPUR)
Constituency(id=295, name=BHOGNIPUR (SC))
Constituency(id=373, name=ALIGARH)
Constituency(id=53, name=NAWABGANJ)
Constituency(id=138, name=RUDAULI)
Constituency(id=161, name=GONDA)
Constituency(id=129, name=KATEHARI)
Constituency(id=363, name=MATHURA)
Constituency(id=280, name=SIRATHU (SC))
Constituency(id=151, name=BHINGA)
Constituency(id=165, name=HARRAIYA)
Constituency(id=10, name=ALMORA)
Constituency(id=113, name=SALON (SC))
Constituency(id=264, name=MAJHWA)
Constituency(id=66, name=SHAHJAHANPUR)
Constituency(id=279, name=MANJHANPUR (SC))
Constituency(id=43, name=BILSI (SC))
Constituency(id=353, name=FATEHABAD)
Constituency(id=2, name=TEHRI)
Constituency(id=300, name=DERAPUR)
Constituency(id=185, name=GORAKHPUR)
Constituency(id=37, name=RAMPUR)
Constituency(id=166, name=CAPTAINGANJ)
Constituency(id=155, name=TULSIPUR)
Constituency(id=170, name=DOMARIAGANJ)
Constituency(id=182, name=KAURIRAM)
Constituency(id=340, name=JASRANA)
Constituency(id=141, name=HAIDERGARH)
Constituency(id=321, name=HAMIRPUR)
Constituency(id=325, name=MAHOBA)
Constituency(id=307, name=BIDHUNA)
Constituency(id=147, name=FAKHARPUR)
Constituency(id=420, name=ROORKEE)
Constituency(id=121, name=AMETHI)
Constituency(id=28, name=SAMBHAL)
Constituency(id=198, name=SEORAHI)
Constituency(id=405, name=KHATAULI)
Constituency(id=153, name=IKAUNA (SC))
Constituency(id=156, name=BALRAMPUR)
Constituency(id=231, name=DILDARNAGAR)
Constituency(id=14, name=KHATIMA)
Constituency(id=127, name=CHANDA)
Constituency(id=150, name=CHARDA (SC))
Constituency(id=252, name=KERAKAT (SC))
Constituency(id=93, name=SAFIPUR (SC))
Constituency(id=260, name=DUDHI (SC))
Constituency(id=291, name=GOVIND NAGAR)
Constituency(id=327, name=LALITPUR)
Constituency(id=49, name=SUNHA)
Constituency(id=358, name=AGRA EAST)
Constituency(id=54, name=BHOJIPURA)
Constituency(id=286, name=BINDKI)
Constituency(id=196, name=HATA (SC))
Constituency(id=102, name=LUCKNOW WEST)
Constituency(id=294, name=GHATAMPUR)
Constituency(id=398, name=KHARKHAUDA)
Constituency(id=62, name=NIGOHI)
Constituency(id=259, name=MACHHLISHAHR)
Constituency(id=80, name=HARGAON (SC))
Constituency(id=154, name=GAINSARI)
Constituency(id=297, name=SARVANKHERA)
Constituency(id=125, name=SULTANPUR)
Constituency(id=23, name=CHANDPUR)
Constituency(id=108, name=TILOI)
Constituency(id=174, name=BANSI)
Constituency(id=172, name=SHOHRATGARH)
Constituency(id=224, name=SIKANDERPUR)
Constituency(id=163, name=COLONELGANJ)
Constituency(id=333, name=ORAI)
Constituency(id=24, name=KANTH)
Constituency(id=226, name=DOABA)
Constituency(id=402, name=BARNAWA)
Constituency(id=136, name=MILKIPUR)
Constituency(id=158, name=SADULLAH NAGAR)
Constituency(id=195, name=RAMKOLA)
Constituency(id=319, name=BANDA)
Constituency(id=211, name=AZAMGARH)
Constituency(id=76, name=MAHMOODABAD)
Constituency(id=41, name=GUNNOUR)
Constituency(id=237, name=DHANAPUR)
Constituency(id=413, name=NAKUR)
Constituency(id=107, name=BACHHRAWAN (SC))
Constituency(id=407, name=MORNA)
Constituency(id=345, name=SAKEET)
Constituency(id=94, name=UNNAO)
Constituency(id=212, name=NIZAMABAD)
Constituency(id=322, name=MAUDAHA)
total constituency data 423
total result data 0
total turnout data 0
